ID	name	mime	version	release year	comments
1	Bitmap Image File version 1.0	image/bmp,image/x-windows-bmp,image/x-ms-bmp	1.0	1985	
2	Bitmap Image File version 2.0	image/bmp,image/x-windows-bmp,image/x-ms-bmp	2.0	1987	
3	Bitmap Image File version 3.0	image/bmp,image/x-windows-bmp,image/x-ms-bmp	3.0	1990	
4	Bitmap Image File version 3.0 NT	image/bmp,image/x-windows-bmp,image/x-ms-bmp	3.0NT	1993	
5	Bitmap Image File version 4.0	image/bmp,image/x-windows-bmp,image/x-ms-bmp	4.0	1995	
6	Bitmap Image File version 5.0	image/bmp,image/x-windows-bmp,image/x-ms-bmp	5.0	1998	
