ID	name	mime	version	release year	comments
1	Tagged Image File Format version 3.0	image/tiff	3.0	1986	
2	Tagged Image File Format version 4.0	image/tiff	4.0	1987	
3	Tagged Image File Format version 5.0	image/tiff	5.0	1988	
4	Tagged Image File Format version 6.0	image/tiff	6.0	1992	
